"formacion_bruta_capital","apertura","pbi_p_c","crecimiento_pbi","consumo_gobierno","inflacion"
11.4556283331357,46.7098945514103,527.834554499306,-2.35110067203466,22.1092193573017,6.9629462552564
15.2435765521019,67.5846651516385,378.06630312259,2.26694373649188,21.2145146604881,2.92366213121669
26.2596685681188,76.7873817898989,4283.98262744437,3.28317593330073,11.851016747215,2.72506918540461
25.1975808136514,59.5207118897718,4437.65346927974,-3.31375636888916,13.6673333207542,0.0410440719196288
24.0498939278465,82.4936825596994,5444.93000074979,3.93661689192599,12.0464694929138,6.0660520944985
41.5075397965874,49.8208161712587,4742.90075532529,1.49999999895587,18.8290421977276,4.93800729574315
39.0898216851072,40.3897565625388,4363.68533767783,-4.99999999908597,19.8031597171656,-4.7113839171413
32.8153081859397,43.682914195572,4660.40545687895,4.10000000005964,17.9279465789317,0.854841037314543
23.2423166653967,52.2568222278462,2911.60084214038,-0.147212941085755,12.9358193168237,22.6145140271114
26.4904004984611,65.9420289329872,2433.37637275564,-5.63821471714934,8.64793565020863,10.7631052824799
23.7790911131562,67.00179327992,2334.66104267184,1.07809951970673,5.17178248225276,17.6001393484509
15.1621987548244,25.2896011376779,13520.1129846159,2.81850297775918,17.6968939223042,26.0063792819079
14.282505371897,30.203698807416,11393.0505957877,-9.9004848136464,16.8730073837365,40.0830878011993
18.5700907686492,26.6405121334437,12933.2497342121,-1.61100162090189,16.3874689950096,135.368876310592
17.6483759985837,87.202376539837,3815.3747426037,7.50000000164144,12.3185519874739,2.15064189848613
17.7739212520107,69.4888075396076,4032.09043454955,-7.19999999920631,14.9686182373692,1.80659270159933
20.8720646766827,119.714642963872,5197.23509013575,8.29999999959539,14.146579323878,2.67300354889213
24.0704233766012,42.2037316765804,57750.6482221688,2.27959179820343,19.9482833661896,3.65318441813451
22.8121532268605,44.6644560654359,58132.798523626,-0.119590735829973,21.8946914788236,1.88550119010648
23.293397151251,49.2251840594381,61598.1776089916,3.44199220009025,21.3138550807727,6.51199894950456
23.8459451205616,105.556066755438,45056.6385912412,2.27224992038207,19.598940636538,0.975317906732371
25.134256704245,99.9482141095975,43428.6983137234,-6.31825509209936,21.1529340170726,2.59313253599376
24.9012402549934,116.813919411879,46338.9570588922,-0.954962529389121,20.4654125213615,6.64765359130317
23.8172078171339,90.4023156823216,5229.25259747579,0.153614646686151,11.3414124411056,16.226204566647
22.6664792823179,72.0178676487811,5087.50022691293,-4.19896079231232,16.2189420775689,-7.49363332447324
17.4006159423821,83.5358861156321,5668.61020477202,1.35447731755447,13.81500937233,-9.32261489254115
28.4555243468986,136.429239810394,23606.8867501313,4.95383534123657,15.8528821640076,4.61583421430929
29.0855253637305,135.460985012931,23586.9309581516,-5.9113629524152,16.5555429863148,-5.8288484641256
27.5133591159521,157.447854682297,25342.6226641572,3.87811614845566,14.6137011761089,-4.28437217979031
30.9468731155675,29.9997306724343,1373.75363740186,6.59024999794057,6.02233215987973,5.04759758203714
31.3079413414304,26.271447376215,1604.6659234742,3.44801755122445,5.97120729189186,3.84106338588026
30.9512000834944,30.9829714104596,1885.37733613545,5.77511237007889,5.66516962733289,6.89712404003441
26.1579866134837,133.367754723012,5964.89668930991,2.53218350023008,15.652843263526,8.62314740427041
25.3653466986551,118.934176146534,6251.98898903127,-0.67274295062424,16.9649774780792,11.8774650823508
22.555363377361,131.584674884961,6497.78450735958,4.12654007153881,17.8518963705848,8.04676215128896
23.5041514887444,166.904078237791,41619.328629169,1.47446761556785,23.1178023270709,1.98316343604859
24.0338724949105,156.950121282783,40769.0218072962,-4.7929839083518,24.3008045914304,1.59611667576401
24.4465011647884,168.961009401668,44722.1955283977,1.201691781997,23.7766450906713,4.5081215034371
15.3995499271941,97.6922737501655,5772.92692023491,-1.81285354051658,18.8192207562988,3.03291030935591
17.2797806985339,81.821964412463,5003.87784847193,-13.9029100645218,17.3287319186431,-0.652000223707887
20.5963936938553,106.531755710256,6212.26051785042,1.14901682065862,15.7460162707664,6.50970161380764
23.4384503972218,61.4765969588474,1032.90471194182,5.67156195150444,10.4789842865023,-0.367897725119164
25.2065173861299,44.8332333768726,1126.65404122154,3.84879240030133,11.3993621464496,2.87803228859791
34.1217773085656,44.6631308180211,1263.62158336368,6.3527773854442,9.5040595229118,3.38561739537163
54.264203381851,76.7884016850221,3211.80903275593,2.08684522733067,18.1851042374345,4.34963395866464
38.5705348289027,71.8303510394637,3092.12428399363,-10.2183974208569,22.3153543493509,5.28737431349467
44.5127343141777,81.564529851324,3488.84449072501,4.88259396253632,20.2925802198689,4.37406197211145
21.2683553463249,56.7046527566598,3160.16421228968,4.19520633360395,17.0216400266816,6.06139996218435
15.5721386707426,45.5032626166675,2949.81955038243,-8.7378843576993,19.7386344530618,-1.8543866829455
17.4650893677264,56.4582389783573,3226.08756009169,3.08196521047731,19.2863642827457,-0.505250417036535
21.6524032671789,96.6458791411189,5099.81613758953,3.24410095889466,20.1653336206043,1.77870702677497
22.1116678201234,82.1112652572898,5490.75367062899,-3.01509514759861,20.7503460226245,0.0621425496305932
23.0739959426831,99.6174933893972,6493.22233959649,1.99439520319464,19.1261838923948,7.29122677163825
24.1791764530728,81.9239513763494,6662.5764477869,4.11437856026637,28.8780859521463,-2.64993320543444
27.6308199386437,77.6634178431966,6254.24806377545,-8.72888241149465,36.1431463714153,4.37886680593209
25.6373629510322,68.8033578360816,7269.05170664457,3.20806812224438,29.2900715297286,1.73900386471155
14.5589865169328,24.3197343743057,8628.25308908043,1.32286905404399,20.1619046963757,3.67138450274919
