paises;fecha;deficit_millones;deficit_pbi;deuda_millones;deuda_pbi;deuda_per_capita
Bhutan;2023;-137;-4,7;3.374;115,44;4.299
Botswana;2023;-812;-4,19;4.363;22,51;1.759
Belarus;2023;545;0,76;29.237;40,72;3.186
Belize;2023;-74;-2,42;2.060;67,5;5.098
Canada;2023;1.564;0,07;2.340.920;107,71;58.451
Democratic Republic of the Congo;2023;-1.115;-1,65;18.191;26,98;182
Central African Republic;2023;-93;-3,44;1.514;55,64;299
Republic of Congo;2023;823;5,81;14.581;102,91;2.376
Switzerland;2023;1.095;0,4;346.130;38,68;38.621
Côte d'Ivoire;2023;-4.136;-5,19;45.810;57,53;1.470
Chile;2023;-7.632;-2,27;132.288;39,42;6.729
Cameroon;2023;-313;-0,64;21.267;43,15;750
Colombia;2023;-10.708;-2,92;203.133;55,46;3.890
Costa Rica;2023;-2.813;-3,25;52.874;61,12;10.018
Cape Verde;2023;-7;-0,28;2.939;117,52;5.774
Cyprus;2023;575;1,7;24.959;71,1;25.827
Czechia;2023;-12.887;-3,7;145.692;42,2;13.366
Djibouti;2023;-135;-3,46;1.388;35,44;1.348
Denmark;2023;13.880;3,4;136.736;33;22.938
Dominica;2023;-30;-4,52;675;99,92;10.145
Dominican Republic;2023;-3.963;-3,28;73.094;60,51;6.825
Algeria;2023;-13.684;-5,52;118.226;47,66;2.572
Ecuador;2023;-4.217;-3,48;65.821;54,33;3.661
Estonia;2023;-1.297;-2,7;8.337;20,2;6.065
Egypt;2023;-22.717;-5,77;377.797;95,93;3.591
Eritrea;2020;-92;-4,36;3.794;179,66;1.153
Ethiopia;2023;-4.153;-2,6;61.887;38,74;481
Finland;2023;-8.808;-2,9;228.796;77,1;40.828
Fiji;2023;-374;-7,19;4.333;83,3;4.688
Federated States of Micronesia;2021;17;4,44;66;16,96;688
Gabon;2023;360;1,79;14.159;70,59;5.698
Grenade;2022;11;0,93;970;79,27;8.512
Georgia;2023;-717;-2,33;11.980;38,92;3.242
Ghana;2023;-2.711;-3,37;63.706;79,09;1.885
Gambia;2023;-83;-3,69;1.801;80,24;681
Guinea;2023;-852;-3,86;8.914;40,35;619
Equatorial Guinea;2023;294;2,39;4.823;39,09;2.610
Greece;2023;-3.290;-1,4;402.277;164,3;38.678
Guatemala;2023;-1.306;-1,25;28.393;27,21;1.566
Guinea-Bissau;2023;-163;-8,15;1.592;79,39;739
Guyana;2023;-979;-5,78;4.509;26,65;5.456
Hong Kong;2023;-21.954;-5,65;24.590;6,33;3.266
Honduras;2023;-675;-1,96;16.440;47,85;1.569
Croatia;2023;-668;-0,8;52.199;60,9;13.516
Haiti;2023;150;0,77;5.580;28,46;479
Hungary;2023;-14.448;-6,8;156.219;73,2;16.299
Indonesia;2023;-22.512;-1,64;543.001;39,6;1.948
Ireland;2023;8.652;1,4;238.728;41,8;44.608
Israel;2023;-25.960;-5,06;314.860;61,33;31.982
India;2023;-288.024;-7,92;2.955.574;81,23;2.055
Iraq;2023;-3.089;-1,14;113.948;42,08;2.528
Iran;2022;-10.640;-2,83;138.934;36,93;1.636
Iceland;2023;-721;-2,3;19.498;61,55;50.833
Jamaica;2023;8;0,04;14.333;73,36;5.047
Jordan;2023;-3.523;-6,89;45.542;89,02;4.017
Kenya;2023;-6.182;-5,71;79.429;73,41;1.435
Kyrgyzstan;2023;241;1,59;6.371;41,95;897
Cambodia;2023;-1.199;-2,83;11.143;26,28;655
Kiribati;2023;1;0,13;33;11,42;266
Comoros;2023;-18;-1,34;381;28,71;448
Saint Kitts and Nevis;2023;-3;-0,28;591;55,72;12.631
South Korea;2023;-12.346;-0,67;932.339;50,54;18.029
Kuwait;2023;46.669;28,22;5.183;3,13;1.055
Kazakhstan;2023;-3.987;-1,52;60.176;22,98;3.024
Laos;2023;-2;-0,01;17.493;116,54;2.282
Lebanon;2021;-527;-2,67;70.858;358,19;12.669
Saint Lucia;2023;-64;-2,62;1.837;74,85;10.260
Liechtenstein;2023;362;4,37;39;0,47;973
Sri Lanka;2023;-6.969;-8,32;92.410;110,38;4.193
Liberia;2023;-309;-7,03;2.539;57,82;462
Lesotho;2023;162;7,32;1.361;61,51;584
Lithuania;2023;-549;-0,7;29.806;37,1;10.328
Luxembourg;2023;-692;-0,7;21.921;24,7;32.619
Latvia;2023;-1.439;-2,4;19.013;44,4;10.157
Libya;2023;3.612;8,22;16.164;36,39;2.583
Morocco;2023;-6.436;-4,41;100.348;68,71;2.710
Moldova;2023;-857;-5,13;5.840;34,95;2.410
Montenegro;2023;65;0,86;4.555;59,57;7.303
Madagascar;2023;-666;-4,2;8.357;52,66;268
Marshall Islands;2023;2;0,69;48;18,67;1.200
North Macedonia;2023;-728;-4,61;8.016;50,83;4.390
Mali;2023;-757;-3,57;10.990;51,88;462
Myanmar;2020;-4.309;-6,57;31.975;48,72;595
Mongolia;2023;555;2,73;9.488;46,71;2.707
Mauritania;2023;-263;-2,45;5.053;47,12;1.006
Malta;2023;-1.051;-4,4;10.589;47;18.793
Mauritius;2023;-664;-4,2;12.068;76,43;9.570
Maldives;2023;-871;-13,17;8.091;122,39;15.383
Malawi;2023;-1.054;-7,84;11.651;86,7;513
Mexico;2023;-77.119;-4,29;946.602;52,64;7.219
Malaysia;2023;-15.880;-3,97;278.792;69,71;8.433
Mozambique;2023;-891;-4,26;23.876;114,13;710
Namibia;2023;-390;-3,14;8.329;67,16;2.845
Niger;2023;-903;-5,37;8.709;51,81;322
Nigeria;2023;-15.228;-3,13;177.081;36,34;777
Nicaragua;2023;411;2,31;7.534;42,3;1.100
Netherlands;2023;-4.215;-0,4;521.568;45,8;29.068
Norway;2023;80.030;16,5;213.124;44,13;38.399
Nepal;2023;-2.387;-5,83;19.277;47,12;649
Nauru;2023;30;19,39;31;20,47;2.617
New Zealand;2023;-8.978;-3,54;119.072;46,92;22.903
Oman;2023;7.272;6,87;39.698;37,49;7.685
Panama;2023;-3.271;-3,9;42.937;51,23;9.642
Peru;2023;-7.552;-2,78;88.141;32,43;2.604
Papua New Guinea;2022;-1.663;-5,25;15.253;48,19;1.495
Philippines;2023;-19.129;-4,38;246.868;56,48;2.206
Pakistan;2023;-26.012;-7,7;264.223;78,23;1.142
Poland;2023;-42.865;-5,2;402.577;49,5;10.993
State of Palestine;2023;-170;-0,95;8.657;48,5;1.579
Palau;2023;3;1,02;211;76,77;11.722
Paraguay;2023;-1.643;-3,81;17.704;41,06;2.603
Taste;2023;11.843;5,56;93.022;43,67;30.370
Romania;2023;-19.680;-6,7;182.940;49,3;9.594
Serbia;2023;-985;-1,21;37.147;45,67;5.624
Russia;2023;-45.655;-2,22;400.995;19,47;2.741
Rwanda;2023;-722;-5,04;9.089;63,42;651
Saudi Arabia;2023;-21.576;-1,77;280.075;22,98;8.310
Solomon Islands;2022;-39;-2,51;243;15,51;311
Seychelles;2023;-25;-1,15;1.209;55,29;12.092
Sudan;2021;-101;-0,29;66.641;189,64;1.386
Sweden;2023;-3.649;-0,9;184.201;32;17.457
Singapore;2023;17.828;3,47;888.318;172,8;150.104
Slovenia;2023;-1.792;-2,6;47.307;68,3;22.273
Slovakia;2023;-6.901;-5,3;74.517;55,8;13.737
Sierra Leone;2023;-319;-4,99;3.165;49,47;374
San Marino;2022;7;0,42;1.293;70,56;38.250
Senegal;2023;-4.533;-14,77;36.342;118,38;2.001
Suriname;2023;-58;-1,68;3.384;98,23;5.313
South Sudan;2023;595;8,04;3.842;51,91;335
Sao Tome and Principe;2023;-15;-2,13;510;73,23;2.208
El Salvador;2023;-1.587;-4,69;28.806;85,09;4.565
Syria;2009;-1.560;-2,89;16.835;31,21;798
Eswatini;2023;46;0,92;1.843;37,34;1.498
Chad;2023;-234;-1,26;6.007;32,23;311
Togo;2023;-611;-6,73;6.230;68,6;668
Thailand;2023;-10.140;-1,98;319.854;62,32;4.557
Tajikistan;2023;-114;-0,93;3.654;29,95;352
East Timor;2023;-722;-34,73;259;12,45;188
Turkmenistan;2023;69;0,11;3.429;5,46;526
Tunisia;2023;-3.411;-7,03;40.781;84,01;3.343
Tonga;2023;32;6,14;225;43,95;2.152
Türkiye;2023;-60.155;-5,22;330.687;28,67;3.873
Trinidad and Tobago;2023;-304;-1,16;15.571;59,32;11.386
Tuvalu;2023;8;15,34;3;6,67;336
Taiwan;2023;-18.908;-2,5;219.962;29,04;9.392
Tanzania;2023;-2.874;-3,67;37.463;47,8;562
Ukraine;2023;-35.052;-19,34;147.174;81,21;3.900
Uganda;2023;-2.534;-4,87;26.269;50,51;581
Uruguay;2023;-2.445;-3,14;49.920;64;14.279
Uzbekistan;2023;-4.138;-4,03;33.029;32,18;917
Saint Vincent and the Grenadines;2023;-128;-11,96;955;89,43;9.426
Venezuela;2017;-26.649;-13,27;30.110;133,61;985
Viet Nam;2023;-7.439;-1,72;148.334;34,26;1.479
Vanuatu;2023;-11;-0,95;470;41,78;1.467
Samoa;2023;28;3,01;332;35,43;1.591
Yemen;2023;-1.094;-5,63;15.114;77,86;384
South Africa;2023;-20.737;-5,45;279.214;73,36;4.490
Zambia;2023;-1.511;-5,48;35.592;129,06;1.730
Zimbabwe;2023;-2.637;-3,9;51.431;76,13;3.147
Spain;2020;-129.192;-9,91;1.535.921;119,3;32.404
Germany;2020;-172.483;-4,4;2.679.454;68;32.222
United Kingdom;2020;-355.499;-13,17;2.856.312;105,84;42.580
France;2020;-236.276;-8,9;3.040.206;114,9;44.888
Italy;2020;-178.756;-9,4;2.942.399;154,4;49.672
Portugal;2020;-13.198;-5,8;307.664;134,1;29.599
United States;2020;-3.018.448;-14,12;28.325.036;132,51;85.495
Japan;2020;-458.661;-9,08;13.058.141;258,37;103.760
China;2020;-1.444.362;-9,56;10.426.657;69,04;7.384
Andorra;2020;-31;-1,07;1.337;46,35;17.139
United Arab Emirates;2020;-8.626;-2,42;107.570;30,12;11.580
Afghanistan;2020;-452;-2,24;1.476;7,33;38
Antigua and Barbuda;2020;-88;-6,23;1.419;100,47;14.476
Albania;2020;-1.018;-6,67;11.511;75,38;4.068
Armenia;2020;-683;-5,4;8.504;67,27;2.870
Angola;2020;-1.103;-1,66;79.257;119,15;2.371
Argentina;2020;-33.414;-8,67;399.917;103,82;8.849
Austria;2020;-35.611;-8,2;361.056;83,2;40.420
Australia;2020;-118.961;-8,73;777.772;57,08;30.345
Azerbaijan;2020;-2.749;-6,44;9.105;21,33;900
Bosnia and Herzegovina;2020;-912;-4,5;7.548;37,25;2.165
Barbados;2020;-215;-4,47;6.635;138,17;23.038
Bangladesh;2020;-18.099;-4,84;129.031;34,51;783
Belgium;2020;-47.817;-9;588.787;111,4;50.956
Burkina Faso;2020;-920;-5,16;7.784;43,64;362
Bulgaria;2020;-2.061;-3,8;16.050;24,5;2.457
Bahrain;2020;-6.202;-17,31;45.048;125,7;30.603
Burundi;2020;-203;-6,58;2.036;65,9;161
Benin;2020;-734;-4,68;7.232;46,14;553
Brunei;2020;-1.894;-15,77;343;2,86;776
Bolivia;2020;-4.694;-12,72;28.769;77,97;2.474
Brazil;2020;-171.771;-11,64;1.417.149;96,01;6.775
Bahamas;2020;-839;-7,38;8.484;74,67;21.810
Bhutan;2020;-47;-1,81;2.972;114,94;3.860
Botswana;2020;-1.710;-10,87;3.699;23,51;1.453
Belarus;2020;-1.760;-2,87;29.119;47,49;3.104
Belize;2020;-175;-8,57;2.109;103,04;5.366
Canada;2020;-181.282;-10,95;1.954.794;118,07;51.403
Democratic Republic of the Congo;2020;-1.647;-3,17;12.301;23,7;135
Central African Republic;2020;-80;-3,24;1.061;42,77;214
Republic of Congo;2020;-127;-1,11;11.774;102,51;2.065
Switzerland;2020;-22.344;-2,7;320.237;43,2;36.935
Côte d'Ivoire;2020;-3.420;-5,42;29.234;46,32;1.023
Chile;2020;-18.026;-7,1;82.265;32,38;4.228
Cameroon;2020;-1.303;-3,19;18.330;44,86;699
Colombia;2020;-19.262;-7,13;176.468;65,27;3.501
Costa Rica;2020;-5.227;-8,38;41.741;66,91;8.140
Cape Verde;2020;-170;-9,29;2.639;144,28;5.257
Cyprus;2020;-1.423;-5,6;29.008;113,6;31.721
Czechia;2020;-14.187;-5,6;92.617;36,9;8.825
Djibouti;2020;-81;-2,58;1.322;42,06;1.338
Denmark;2020;1.289;0,4;164.580;45,2;28.181
Dominica;2020;-40;-7,53;595;112,46;8.812
Dominican Republic;2020;-6.240;-7,94;56.462;71,81;5.404
Algeria;2020;-17.331;-10,52;75.742;45,97;1.727
Ecuador;2020;-7.071;-7,38;60.923;63,55;3.476
Estonia;2020;-1.724;-5,4;6.072;19,1;4.565
Egypt;2020;-28.569;-7,47;329.823;86,22;3.279
Eritrea;2020;-92;-4,36;3.794;179,66;1.153
Ethiopia;2020;-2.671;-2,76;51.877;53,7;520
Finland;2020;-14.930;-5,5;203.185;75,3;36.717
Fiji;2020;-391;-8,07;3.083;63,63;3.422
Federated States of Micronesia;2020;24;6,42;80;21,48;825
Gabon;2020;-336;-2,19;12.758;83,04;5.493
Grenade;2020;-47;-4,55;933;89,49;8.260
Georgia;2020;-1.466;-9,16;9.537;59,56;2.558
Ghana;2020;-12.211;-17,44;55.369;79,09;1.736
Gambia;2020;-43;-2,37;1.554;85,89;642
Guinea;2020;-434;-3,08;6.376;45,26;477
Equatorial Guinea;2020;-175;-1,77;4.893;49,39;2.851
Greece;2020;-19.766;-9,6;401.399;209,4;37.589
Guatemala;2020;-3.816;-4,91;24.475;31,49;1.410
Guinea-Bissau;2020;-147;-9,64;1.182;77,59;587
Guyana;2020;-426;-7,78;3.254;59,49;4.135
Hong Kong;2020;-32.466;-9,23;3.508;1;472
Honduras;2020;-1.070;-4,58;12.247;52,45;1.232
Croatia;2020;-4.190;-7,2;50.082;86,5;12.864
Haiti;2020;-306;-2,11;3.238;22,32;288
Hungary;2020;-11.864;-7,5;124.693;78,7;12.920
Indonesia;2020;-64.336;-6,08;420.944;39,75;1.558
Ireland;2020;-21.208;-4,9;248.665;56,9;49.076
Israel;2020;-43.967;-10,7;292.043;71,07;31.696
India;2020;-344.104;-12,86;2.365.281;88,43;1.686
Iraq;2020;-23.398;-12,82;132.286;72,46;3.141
Iran;2020;-10.198;-5,22;94.523;48,34;1.125
Iceland;2020;-1.924;-8,8;16.766;76,09;45.462
Jamaica;2020;-427;-3,11;15.090;109,69;5.513
Jordan;2020;-4.423;-10,11;45.718;104,47;4.183
Kenya;2020;-8.209;-8,13;68.585;67,96;1.313
Kyrgyzstan;2020;-254;-3,06;5.272;63,64;809
Cambodia;2020;-882;-2,53;8.804;25,23;539
Kiribati;2020;8;3,57;46;20,98;389
Comoros;2020;-6;-0,52;296;24,32;367
Saint Kitts and Nevis;2020;-27;-3,06;601;67,98;11.778
South Korea;2020;-36.727;-2,11;800.967;45,92;15.452
Kuwait;2020;157;0,14;11.361;10,23;2.620
Kazakhstan;2020;-12.039;-7,04;45.092;26,36;2.404
Laos;2020;-993;-5,37;14.063;75,97;1.921
Lebanon;2020;-1.840;-7,37;37.142;148,71;6.559
Saint Lucia;2020;-182;-11,44;1.511;94,98;8.489
Liechtenstein;2020;474;7,39;34;0,53;873
Sri Lanka;2020;-11.261;-13,36;81.675;96,88;3.726
Liberia;2020;-122;-4,02;1.782;58,67;346
Lesotho;2020;25;1,18;1.144;54,69;508
Lithuania;2020;-3.681;-6,4;26.319;45,9;9.364
Luxembourg;2020;-2.277;-3,1;18.059;24,5;28.451
Latvia;2020;-1.283;-4,1;14.688;44;7.758
Libya;2020;-10.445;-22,27;16.164;36,39;2.583
Morocco;2020;-8.673;-7,15;87.672;72,25;2.439
Moldova;2020;-613;-5,32;4.224;36,63;1.598
Montenegro;2020;-520;-11,01;5.127;108,4;8.260
Madagascar;2020;-516;-3,96;6.900;52,87;238
