paises;fecha;deficit_millones;deficit_pbi;deuda_millones;deuda_pbi;deuda_per_capita
Kyrgyzstan;2017;-288;-3,73;4.528;58,79;738
Cambodia;2017;-224;-0,76;6.655;22,64;427
Kiribati;2017;76;34,09;45;20,16;397
Comoros;2017;-1;-0,1;204;18,93;268
Saint Kitts and Nevis;2017;18;1,68;594;56,18;12.116
South Korea;2017;35.515;2,08;650.071;38,01;12.657
Kuwait;2017;18.411;15,25;23.679;19,62;5.602
Kazakhstan;2017;-7.115;-4,27;33.143;19,87;1.838
Laos;2017;-940;-5,51;9.755;57,2;1.394
Lebanon;2017;-4.589;-8,65;79.534;149,98;13.019
Saint Lucia;2017;-23;-1,13;1.207;59,92;6.858
Liechtenstein;2017;178;2,74;37;0,56;959
Sri Lanka;2017;-4.811;-5,1;68.196;72,26;3.180
Liberia;2017;-237;-7,14;1.057;31,84;225
Lesotho;2017;-49;-2,02;994;40,99;458
Lithuania;2017;172;0,4;18.781;39,1;6.645
Luxembourg;2017;898;1,4;14.322;21,8;23.790
Latvia;2017;-251;-0,3;11.850;40,3;6.126
Libya;2017;-7.428;-11,06;16.164;36,39;2.583
Morocco;2017;-3.916;-3,3;71.434;60,26;2.050
Moldova;2017;-62;-0,65;3.317;34,86;935
Montenegro;2017;-331;-6,89;3.214;66,93;5.164
Madagascar;2017;-277;-2,1;5.288;40,13;212
Marshall Islands;2017;9;4,38;57;26,53;1.213
North Macedonia;2017;-310;-2,73;4.464;39,38;2.151
Mali;2017;-440;-2,86;5.872;38,23;296
Myanmar;2017;-2.064;-3,42;25.246;41,88;480
Mongolia;2017;-427;-3,72;9.977;86,9;3.139
Mauritania;2017;36;0,53;3.800;55,66;902
Malta;2017;482;3,4;6.449;45,6;13.582
Mauritius;2017;-228;-1,55;8.646;58,71;6.834
Maldives;2017;-145;-3,02;3.066;63,75;8.516
Malawi;2017;-461;-5,15;3.575;39,98;187
Mexico;2017;-12.313;-1,03;625.381;52,52;5.012
Malaysia;2017;-7.696;-2,41;173.581;54,4;5.421
Mozambique;2017;-385;-2,9;13.768;103,79;489
Namibia;2017;-643;-4,99;5.647;43,83;2.284
Niger;2017;-460;-4,12;4.082;36,51;189
Nigeria;2017;-20.347;-3,85;95.274;18,01;476
Nicaragua;2017;-242;-1,76;4.777;34,65;744
Netherlands;2017;11.483;1,4;474.722;56;27.631
Norway;2017;19.916;5;153.434;38,19;28.974
Nepal;2017;-779;-2,69;7.240;24,99;258
Nauru;2017;17;16,17;85;77,97;6.534
New Zealand;2017;2.765;1,36;63.384;31,1;13.164
Oman;2017;-8.458;-10,46;32.430;40,11;7.112
Panama;2017;-1.240;-1,92;21.643;33,56;5.281
Peru;2017;-6.122;-2,79;54.441;24,8;1.758
Papua New Guinea;2017;-563;-2,48;7.388;32,48;761
Philippines;2017;-2.470;-0,75;125.250;38,13;1.202
Pakistan;2017;-17.542;-5,17;210.804;62,14;1.027
Poland;2017;-7.853;-1,5;266.597;50,4;7.020
State of Palestine;2017;-448;-2,78;5.126;31,79;1.083
Palau;2017;14;4,76;78;26,91;4.333
Paraguay;2017;-171;-0,44;7.740;19,85;1.230
Taste;2017;-10.987;-6,82;83.077;51,57;30.487
Romania;2017;-6.013;-2,5;78.122;35,3;3.999
Serbia;2017;605;1,32;25.403;55,26;3.628
Russia;2017;-23.138;-1,47;225.419;14,31;1.526
Rwanda;2017;-233;-2,52;4.223;45,63;358
Saudi Arabia;2017;-63.545;-8,57;118.201;15,95;3.816
Solomon Islands;2017;-33;-2,27;129;8,77;190
Seychelles;2017;-28;-1,67;949;56,65;10.095
Sudan;2017;-2.968;-6,07;73.134;149,54;1.712
Sweden;2017;6.900;1,3;222.788;41,9;22.014
Singapore;2017;18.240;5,24;374.453;107,65;66.724
Slovenia;2017;26;0,1;36.048;74,9;17.441
Slovakia;2017;-945;-1;49.298;51,4;9.057
Sierra Leone;2017;-327;-5,61;2.573;44,18;349
San Marino;2017;-53;-3,49;865;56,59;25.972
Senegal;2017;-623;-2,97;12.833;61,14;832
Suriname;2017;-310;-8,62;2.623;73,03;4.500
South Sudan;2017;114;9,57;2.121;178,27;207
Sao Tome and Principe;2017;-10;-3,11;300;92,3;1.449
El Salvador;2017;-632;-2,53;19.268;77,14;3.101
Syria;2009;-1.560;-2,89;16.835;31,21;798
Eswatini;2017;-305;-6,84;978;21,89;901
Chad;2017;-23;-0,18;5.194;39,18;346
Togo;2017;-13;-0,21;3.646;57,11;453
Thailand;2017;-1.872;-0,42;187.665;41,78;2.712
Tajikistan;2017;-426;-5,65;3.489;46,3;384
East Timor;2017;-535;-33,78;106;6,71;85
Turkmenistan;2017;-1.077;-2,84;9.366;24,7;1.569
Tunisia;2017;-2.364;-5,61;28.293;67,1;2.453
Tonga;2017;16;3,58;206;44,72;2.038
Türkiye;2017;-16.130;-1,87;238.610;27,62;2.953
Trinidad and Tobago;2017;-2.476;-10,45;9.495;40,07;6.861
Tuvalu;2017;1;2,1;5;12,05;485
Taiwan;2017;-11.963;-2,02;203.883;34,46;8.650
Tanzania;2017;-617;-1,14;21.659;40,11;389
Ukraine;2017;-2.641;-2,36;80.261;71,62;1.901
Uganda;2017;-1.209;-3,83;10.626;33,64;282
Uruguay;2017;-1.633;-2,51;36.322;55,82;10.386
Uzbekistan;2017;728;1,04;12.033;17,26;375
Saint Vincent and the Grenadines;2017;-13;-1,56;582;69;5.295
Venezuela;2017;-26.649;-13,27;30.110;133,61;985
Viet Nam;2017;-5.442;-1,96;129.174;46,62;1.379
Vanuatu;2017;-11;-1,2;463;52,63;1.660
Samoa;2017;-17;-1,98;413;46,68;2.096
Yemen;2017;-1.316;-4,91;22.491;83,79;680
South Africa;2017;-15.313;-4,02;185.275;48,59;3.230
Zambia;2017;-1.940;-7,5;17.234;66,61;996
Zimbabwe;2017;-1;-7,37;6;48,98;0
;;;;;;
