paises;fecha;deficit_millones;deficit_pbi;deuda_millones;deuda_pbi;deuda_per_capita
Lituania ;2023;-549;-0,7;29.806;37,1;10.328
Luxemburgo ;2023;-692;-0,7;21.921;24,7;32.619
Letonia ;2023;-1.439;-2,4;19.013;44,4;10.157
Libia ;2023;3.612;8,22;16.164;36,39;2.583
Marruecos ;2023;-6.436;-4,41;100.348;68,71;2.710
Moldavia ;2023;-857;-5,13;5.840;34,95;2.410
Montenegro ;2023;65;0,86;4.555;59,57;7.303
Madagascar ;2023;-666;-4,2;8.357;52,66;268
Islas Marshall ;2023;2;0,69;48;18,67;1.200
Macedonia del Norte ;2023;-728;-4,61;8.016;50,83;4.390
Malí ;2023;-757;-3,57;10.990;51,88;462
Myanmar ;2020;-4.309;-6,57;31.975;48,72;595
Mongolia ;2023;555;2,73;9.488;46,71;2.707
Mauritania ;2023;-263;-2,45;5.053;47,12;1.006
Malta ;2023;-1.051;-4,4;10.589;47;18.793
Mauricio ;2023;-664;-4,2;12.068;76,43;9.570
Maldivas ;2023;-871;-13,17;8.091;122,39;15.383
Malaui ;2023;-1.054;-7,84;11.651;86,7;513
México ;2023;-77.119;-4,29;946.602;52,64;7.219
Malasia ;2023;-15.880;-3,97;278.792;69,71;8.433
Mozambique ;2023;-891;-4,26;23.876;114,13;710
Namibia ;2023;-390;-3,14;8.329;67,16;2.845
Níger ;2023;-903;-5,37;8.709;51,81;322
Nigeria ;2023;-15.228;-3,13;177.081;36,34;777
Nicaragua ;2023;411;2,31;7.534;42,3;1.100
Países Bajos ;2023;-4.215;-0,4;521.568;45,8;29.068
Noruega ;2023;80.030;16,5;213.124;44,13;38.399
Nepal ;2023;-2.387;-5,83;19.277;47,12;649
Nauru ;2023;30;19,39;31;20,47;2.617
Nueva Zelanda ;2023;-8.978;-3,54;119.072;46,92;22.903
Omán ;2023;7.272;6,87;39.698;37,49;7.685
Panamá ;2023;-3.271;-3,9;42.937;51,23;9.642
Perú ;2023;-7.552;-2,78;88.141;32,43;2.604
Papúa Nueva Guinea ;2022;-1.663;-5,25;15.253;48,19;1.495
Filipinas ;2023;-19.129;-4,38;246.868;56,48;2.206
Pakistán ;2023;-26.012;-7,7;264.223;78,23;1.142
Polonia ;2023;-42.865;-5,2;402.577;49,5;10.993
Estado de Palestina ;2023;-170;-0,95;8.657;48,5;1.579
Palaos ;2023;3;1,02;211;76,77;11.722
Paraguay ;2023;-1.643;-3,81;17.704;41,06;2.603
Catar ;2023;11.843;5,56;93.022;43,67;30.370
Rumanía ;2023;-19.680;-6,7;182.940;49,3;9.594
Serbia ;2023;-985;-1,21;37.147;45,67;5.624
Rusia ;2023;-45.655;-2,22;400.995;19,47;2.741
Ruanda ;2023;-722;-5,04;9.089;63,42;651
Arabia Saudita ;2023;-21.576;-1,77;280.075;22,98;8.310
Islas Salomón ;2022;-39;-2,51;243;15,51;311
Seychelles ;2023;-25;-1,15;1.209;55,29;12.092
Sudán ;2021;-101;-0,29;66.641;189,64;1.386
Suecia ;2023;-3.649;-0,9;184.201;32;17.457
Singapur ;2023;17.828;3,47;888.318;172,8;150.104
Eslovenia ;2023;-1.792;-2,6;47.307;68,3;22.273
Eslovaquia ;2023;-6.901;-5,3;74.517;55,8;13.737
Sierra Leona ;2023;-319;-4,99;3.165;49,47;374
San Marino ;2022;7;0,42;1.293;70,56;38.250
Senegal ;2023;-4.533;-14,77;36.342;118,38;2.001
Surinam ;2023;-58;-1,68;3.384;98,23;5.313
Sudán del Sur ;2023;595;8,04;3.842;51,91;335
Santo Tomé y Príncipe ;2023;-15;-2,13;510;73,23;2.208
El Salvador ;2023;-1.587;-4,69;28.806;85,09;4.565
Siria ;2009;-1.560;-2,89;16.835;31,21;798
Eswatini ;2023;46;0,92;1.843;37,34;1.498
Chad ;2023;-234;-1,26;6.007;32,23;311
Togo ;2023;-611;-6,73;6.230;68,6;668
Tailandia ;2023;-10.140;-1,98;319.854;62,32;4.557
Tayikistán ;2023;-114;-0,93;3.654;29,95;352
Timor Oriental ;2023;-722;-34,73;259;12,45;188
Turkmenistán ;2023;69;0,11;3.429;5,46;526
Túnez ;2023;-3.411;-7,03;40.781;84,01;3.343
Tonga ;2023;32;6,14;225;43,95;2.152
Türkiye ;2023;-60.155;-5,22;330.687;28,67;3.873
Trinidad y Tobago ;2023;-304;-1,16;15.571;59,32;11.386
Tuvalu ;2023;8;15,34;3;6,67;336
Taiwan ;2023;-18.908;-2,5;219.962;29,04;9.392
Tanzania ;2023;-2.874;-3,67;37.463;47,8;562
Ucrania ;2023;-35.052;-19,34;147.174;81,21;3.900
Uganda ;2023;-2.534;-4,87;26.269;50,51;581
Uruguay ;2023;-2.445;-3,14;49.920;64;14.279
Uzbekistán ;2023;-4.138;-4,03;33.029;32,18;917
San Vicente y las Granadinas ;2023;-128;-11,96;955;89,43;9.426
Venezuela ;2017;-26.649;-13,27;30.110;133,61;985
Viet Nam ;2023;-7.439;-1,72;148.334;34,26;1.479
Vanuatu ;2023;-11;-0,95;470;41,78;1.467
Samoa ;2023;28;3,01;332;35,43;1.591
Yemen ;2023;-1.094;-5,63;15.114;77,86;384
Sudáfrica ;2023;-20.737;-5,45;279.214;73,36;4.490
Zambia ;2023;-1.511;-5,48;35.592;129,06;1.730
Zimbabue ;2023;-2.637;-3,9;51.431;76,13;3.147
;;;;;;
